horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,0.05258848765967263,0.229321799355562,0.1871949754051627,0.06896102120753664,0.06403286035015428,0.07012023810182028,0.28267045454545453
38 days,0.05313837857770511,0.23051763181523688,0.1886071949766167,0.0695900743205057,0.06417058733120512,0.0708073029188098,0.28154904306220097
39 days,0.05358563210146147,0.23148570604134822,0.18979151564781208,0.07002913669256607,0.06550981487823684,0.07124561960869329,0.27945574162679426
40 days,0.05470187561793445,0.2338843210177511,0.19168281838663992,0.07086336537542745,0.06596375158664819,0.0720929230546914,0.27796052631578944
41 days,0.05552573852485128,0.23563900043254996,0.19260865902917457,0.07146611593463931,0.06596375158664819,0.07275675944175983,0.28080143540669855
42 days,0.05653440444410173,0.23776964575845616,0.1940393268987443,0.07216226153510881,0.06621265399476045,0.0735073866693637,0.28453947368421056
43 days,0.0578822258479428,0.24058725204786474,0.1965357497409286,0.07332041056713416,0.06660325462092516,0.07471912236821943,0.2827414772727273
44 days,0.05929658335967882,0.24350889790658334,0.19925484487741196,0.074476996835137,0.0672272510755858,0.07596181705581591,0.2805397727272727
45 days,0.05957261110684515,0.24407501122983719,0.199941467482822,0.07476474897446811,0.06743730817176222,0.07630386063243771,0.28431519138755984
46 days,0.05975640170781164,0.2444512256214144,0.2003964055881626,0.07501019019096584,0.06770277185553183,0.07650262390367651,0.287828947368421
47 days,0.06038662485401442,0.24573690169369033,0.200879521490039,0.07541091963331904,0.06805825876074781,0.07688862452837009,0.29276315789473684
48 days,0.060971756857192985,0.24692459751347776,0.20084260106782423,0.07569884894487716,0.06698726614450708,0.07722878858114744,0.30128588516746413
49 days,0.06189707868520366,0.24879123514546017,0.20152389146634506,0.07619545214120532,0.06743730817176222,0.07774512190961337,0.30801435406698563
50 days,0.06307303996727424,0.2511434649105452,0.20290640769552626,0.07700428836151468,0.06743730817176222,0.0785624492258321,0.31207386363636364
51 days,0.0642499928420547,0.25347582299314997,0.2042632009887373,0.07765208126481576,0.0672272510755858,0.07927246745511993,0.3146306818181818
52 days,0.0640690710764637,0.2531186897020125,0.20354001090287743,0.0774017248517584,0.06682136277471623,0.07906458289736316,0.32042464114832536
53 days,0.06394009275661737,0.25286378300701223,0.20284234293349276,0.07715330494807925,0.06677060820251171,0.07874190125769663,0.32819976076555024
54 days,0.06484557649201633,0.2546479461767095,0.20305591731281927,0.07747454166681114,0.06662634869895104,0.0790544747151895,0.33814294258373206
55 days,0.06582646683059411,0.25656669080493305,0.203231392953915,0.07792728412635953,0.06635973044896043,0.07956218112904506,0.35092703349282295
56 days,0.06705086744184585,0.2589418225042951,0.2040049041453071,0.07853911683358349,0.06646261193693731,0.08017941835463503,0.36206638755980863
57 days,0.06839502411348114,0.2615244235506144,0.20534713245099825,0.07933648289541526,0.06623715457227838,0.08096864989728886,0.36903409090909095
58 days,0.06933376533740913,0.2633130557671023,0.20616961712411888,0.07978128887335956,0.06578072168146469,0.08148944601704607,0.3728693181818182
59 days,0.06892520276669377,0.26253609802595484,0.2053772460186484,0.07954705678083221,0.06502589529612271,0.08126467070906511,0.37941088516746413
60 days,0.06877855405303,0.2622566568326341,0.20499250693460758,0.0796508805974664,0.06473374488266406,0.08122438869738943,0.3836722488038278
61 days,0.0699730210825319,0.2645241408312895,0.20579661378568048,0.08039215468439805,0.06449244163202326,0.08193252463116661,0.3907745215311005
62 days,0.07111657416932442,0.26667690970409197,0.20632173078789168,0.08108208574273017,0.06410819064855826,0.08269107300036721,0.4000448564593302
63 days,0.07224122432012194,0.26877727642068616,0.20702017167975598,0.08162995662901719,0.06417058733120512,0.08325342918570353,0.40744617224880386
64 days,0.07352244777908858,0.2711502310142637,0.20841267888201484,0.08239210144857105,0.06371776603531709,0.08401259370579714,0.4115056818181818
65 days,0.07438753017064974,0.2727407746756061,0.20932618804787964,0.08284986954620979,0.06371776603531709,0.08456497772893608,0.41548295454545453
66 days,0.07398039940118996,0.2719933811716564,0.20840089540396758,0.08253039178929954,0.06245859784904968,0.08425719682070212,0.4226973684210526
67 days,0.07401580884490935,0.2720584658578177,0.20812352391707256,0.08254630141351006,0.06185636485037385,0.08411274662153712,0.42710825358851673
68 days,0.07522011395446508,0.2742628555865068,0.20915560481652964,0.08335409626190311,0.061369798144203416,0.08488422083757993,0.4298744019138756
69 days,0.07639747714834876,0.27640093550556005,0.2099811529065845,0.08420781168273514,0.061369798144203416,0.08580856994458214,0.43697667464114837
70 days,0.07745146825254816,0.27830103889951285,0.21085245560425417,0.08486615299103183,0.06083357962093891,0.08648187961724478,0.4429575358851675
71 days,0.0784213411336755,0.28003810657422235,0.21198774254445862,0.08551307378894284,0.061369798144203416,0.08711663168050678,0.4446732954545455
72 days,0.07903838270109648,0.2811376579206288,0.2127588494168143,0.08590919136529754,0.060657426698749226,0.08759649118025598,0.4453125
73 days,0.07847061211511794,0.2801260646835955,0.2121428604503829,0.08571422345377833,0.061369798144203416,0.08741016664853646,0.449087918660287
