horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,0.03541533078064877,0.18818961390217254,0.12718935083446506,0.030350760641174392,0.017265647635920846,0.030589405388119592,0.46448863636363635
38 days,0.035555116842270224,0.1885606449985527,0.12833566634997273,0.030616107406273706,0.01790113397549803,0.030856061283175175,0.4550687799043062
39 days,0.03602984272490888,0.18981528580414403,0.1298971695770831,0.030972761596123232,0.018315258315826546,0.031207924943874865,0.44579844497607657
40 days,0.036930553256940155,0.1921732376189259,0.13211470216211738,0.0315013354236462,0.018488523742201005,0.03174806229503734,0.43794856459330145
41 days,0.03771953821502307,0.19421518533581011,0.13438658414603502,0.032036713498581955,0.019555214046138504,0.03228715013012523,0.4265101674641148
42 days,0.038187039797064,0.1954150449608832,0.1359288163300455,0.032399951303839214,0.019896700202568333,0.03264886399233036,0.41589413875598086
43 days,0.038018585447481615,0.1949835517357339,0.136241978335625,0.03245328692045234,0.020087144423879672,0.0326804522309265,0.40916193181818183
44 days,0.037576629012533024,0.1938469215967409,0.13625267487451478,0.03243636987680897,0.02051851199727138,0.032653089944922324,0.4034090909090909
45 days,0.037649022366473155,0.19403355989743928,0.1373250950198518,0.03268060571866661,0.020985012109898435,0.03290338157179232,0.39817583732057416
46 days,0.038383139196921996,0.19591615348643918,0.13911990812886046,0.03309279790398036,0.021280079666934418,0.03331258374422494,0.39241925837320574
47 days,0.03935291401904305,0.1983756890827176,0.14115513167265864,0.03357869573641793,0.02159301898293603,0.033805724065872116,0.3881578947368421
48 days,0.04010799395310372,0.20026980289874888,0.14314253045742345,0.03404788025765201,0.022237189136288422,0.03427775160753742,0.3796351674641148
49 days,0.04058358914369928,0.2014536898239873,0.1446690646362673,0.034414807141946606,0.022521401144306445,0.03463541132182878,0.3718600478468899
50 days,0.040350321851433994,0.20087389539567851,0.14460904183070125,0.03437998270733312,0.022669336874598867,0.03456392173034346,0.3700284090909091
51 days,0.03975462580127695,0.19938562084883893,0.1441277043827693,0.03424459624538609,0.02279828753757939,0.034413030732910285,0.37073863636363635
52 days,0.03998742095862645,0.1999685499237979,0.14536456348051113,0.03454420888282317,0.022914916375673344,0.034718952250688086,0.36692583732057416
53 days,0.0409547852180783,0.202372886568528,0.14727401294416473,0.03500327793844446,0.02311048392973327,0.03516598893880127,0.36326255980861244
54 days,0.04165710826000743,0.2041007306699499,0.1484808134855773,0.03528492042221813,0.023329229938098328,0.03544600076455962,0.3639354066985646
55 days,0.04216039840532827,0.20532997444437642,0.14976466876819694,0.035586967129502635,0.023560843766890258,0.035737169003576076,0.3625149521531101
56 days,0.042337897176775184,0.2057617485753248,0.1506259737178868,0.03580656892896227,0.023618380525090542,0.035933181455324446,0.361244019138756
57 days,0.04200165974084769,0.2049430646322234,0.15018489765544107,0.035696987305008615,0.02359229300615387,0.03578087154522443,0.36669034090909086
58 days,0.04134972015705097,0.20334630598329287,0.1493215477815933,0.035483939965082506,0.02370076226111461,0.03554687152800629,0.37073863636363635
59 days,0.04158191104086234,0.20391643151267222,0.1505234206043641,0.03579599580441215,0.02423726392162833,0.03585948591320926,0.36692583732057416
60 days,0.042499034180038205,0.2061529388100936,0.1524786912180862,0.036277520681985524,0.02451913197287558,0.03632447657517992,0.3639354066985646
61 days,0.04328525292387056,0.20805108248665893,0.1539458447500062,0.03663947305403963,0.024645212201842286,0.036681768531391296,0.36460825358851673
62 days,0.04379324954313274,0.20926836727783954,0.1550612496086112,0.0369039250646277,0.024886877299239697,0.03693120574377043,0.36460825358851673
63 days,0.043863326944399976,0.2094357346404858,0.15555673045918314,0.03703037012079886,0.02525008308200754,0.03703317858882078,0.3655801435406698
64 days,0.043502231771159,0.20857188633936022,0.15509056926815526,0.03691326224072895,0.025431543062197283,0.0368742556752513,0.36811079545454545
65 days,0.04292621853583821,0.20718643424664224,0.15442702601962394,0.03674634538833074,0.02572136303667958,0.036687009213149505,0.3721590909090909
66 days,0.04319673477876616,0.2078382418583408,0.15537959914020497,0.03698749498906279,0.02583774952302139,0.0369284893371346,0.3704395933014354
67 days,0.04419426087435854,0.21022431085475948,0.15720264210264345,0.03742805870515535,0.025972789548834106,0.037352202975692285,0.3667763157894737
68 days,0.04492033903407719,0.21194418848856694,0.1584856582478085,0.03773537687923914,0.026205921021665187,0.037652639116768,0.36535586124401914
69 days,0.04547102518689019,0.2132393612513651,0.1595451089873832,0.037984021525786435,0.02645073354038218,0.0378856658040172,0.3659539473684211
70 days,0.045752132558813524,0.2138974814223242,0.15993419045066365,0.03808114405841718,0.02652822342989324,0.037959195665028284,0.371261961722488
71 days,0.0455677987600811,0.21346615366394997,0.15925504374294205,0.03790124867508703,0.02652822342989324,0.03774046014104522,0.3803977272727273
72 days,0.045288101298316424,0.21281001221351506,0.1586401512922971,0.03773864739346235,0.02652822342989324,0.037559713634511174,0.3884943181818182
73 days,0.04581367820721698,0.2140413002371668,0.1596854962304256,0.03799902581779099,0.026604653734840528,0.03782728774225985,0.39025119617224885
74 days,0.04671076303462371,0.21612672910730804,0.16118239121030797,0.03836105070689963,0.026686770123077557,0.03817959355157522,0.39017643540669855
75 days,0.047241512182448056,0.21735112648074326,0.16210836147981444,0.038589370030783804,0.026739730343822585,0.0384042566510093,0.39301734449760767
76 days,0.047742099685168064,0.21849965602986213,0.16312511867100035,0.03882789294407983,0.02759452490784312,0.038628144319502,0.3944377990430622
77 days,0.04793710650850466,0.21894544185368342,0.16352898827382942,0.03892714633101842,0.028302124024025904,0.03870644796106904,0.3997458133971292
78 days,0.04766142664595277,0.2183149711906006,0.16289932140648697,0.0387564794249243,0.0280144819043385,0.03850048580714593,0.4117897727272727
79 days,0.04741786051573705,0.21775642474043572,0.16222911059228406,0.03857852042104256,0.027202908850025145,0.03830525573973918,0.42329545454545453
80 days,0.04808560381506157,0.21928429906188351,0.16338693202621518,0.03886450671625527,0.027635365555744036,0.0386005573597074,0.4298744019138756
81 days,0.048986931392172355,0.22132991526716933,0.16486384910436175,0.03922137387663333,0.028134762578417752,0.038950726556822,0.435630980861244
82 days,0.04929892827890323,0.22203361970409624,0.16534353360319773,0.03933824436427616,0.02752616906144708,0.039063332785930244,0.44273325358851673
83 days,0.04979525239467793,0.22314849852660432,0.16627341409765198,0.03955442032369334,0.028134762578417752,0.0392637712262801,0.4469946172248804
84 days,0.05007735479777415,0.22377970148736492,0.16683223884238554,0.039688805174516346,0.027890520885862406,0.039380445507018254,0.4529754784688995
85 days,0.049764804489217496,0.22308026467892111,0.16620337292823908,0.039519723174346884,0.02851978285842735,0.03917786349137691,0.4642045454545455
86 days,0.049672988231997776,0.22287437769290075,0.1659627081942595,0.03944576522335697,0.028399987655215626,0.0390929837201235,0.47301136363636365
87 days,0.05061413672194792,0.22497585808692436,0.167843838192804,0.03990999635492934,0.027905285410041537,0.039570777176395254,0.4727123205741627
88 days,0.051559429361404986,0.22706701513298885,0.1696158389633754,0.04033849157069022,0.02851978285842735,0.03999043647836776,0.4726375598086125
89 days,0.05166642987479824,0.22730250740983532,0.16986678162761648,0.04039296050821894,0.028998040576650116,0.040037800067828165,0.4789922248803828
90 days,0.05196921852773813,0.22796758218601637,0.1706585660029221,0.04057635247688692,0.029113317329540003,0.04020725377316617,0.48258074162679426
