horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,66.19747552017864,8.136183105128513,6.018939904382975,0.0654531199179761,0.0433755255741868,0.06591671010929817,0.3771306818181818
38 days,66.48405581513028,8.153775555847137,6.054448505313494,0.06611511368443569,0.04437780365587618,0.06652533159283508,0.3767194976076555
39 days,66.66450273741837,8.16483329513949,6.084912575991194,0.06673058685860579,0.045383008748479545,0.06709307959620546,0.37529904306220097
40 days,66.27059794556304,8.140675521451708,6.090561010328113,0.06709947448116421,0.04585049329104998,0.067420125687428,0.37245813397129185
41 days,66.04704904716624,8.126933557447497,6.102018346132207,0.0674356008345658,0.04665795228949374,0.06773029459420273,0.3675239234449761
42 days,66.72972991720168,8.16882671607139,6.139469417058006,0.06801257555406467,0.047201871684008065,0.06828626535784524,0.36692583732057416
43 days,67.3777893107969,8.208397487378209,6.178446111221489,0.06876464042889609,0.04770524233662887,0.0689029043990289,0.3709517045454545
44 days,67.34521793451785,8.20641321982496,6.193988206274872,0.06908751184748746,0.04774748561204909,0.06916336226611322,0.3757102272727273
45 days,67.18857839285182,8.196863936460812,6.204236199814124,0.06947537280593351,0.04774748561204909,0.06952649741615385,0.3788127990430622
46 days,67.65540447413144,8.225290540408372,6.253878250299549,0.07045978373589394,0.04855573815104456,0.07041993396432393,0.3788127990430622
47 days,67.95907609208554,8.243729501389861,6.3032581711839235,0.07141107791414641,0.04931821187263659,0.07128933767217317,0.373130980861244
48 days,68.31636497747544,8.265371436147044,6.344749460945319,0.07208038525995095,0.05094972970897113,0.07191539799266686,0.3703648325358852
49 days,69.29407425373891,8.324306232578119,6.415380997753622,0.07296763565694354,0.051332333822644204,0.07275659092233712,0.36692583732057416
50 days,70.17715277569454,8.377180478877994,6.481502087065531,0.07405994990405068,0.05249443804979335,0.07364802915120866,0.3630681818181818
51 days,70.30386674787677,8.384740112124929,6.5171634329154955,0.07470405206388962,0.052745029790625876,0.07415475867380601,0.3622159090909091
52 days,69.9677046304019,8.36467002519537,6.535420599332437,0.07524443009549447,0.054941897044170816,0.07461774135544212,0.36176734449760767
53 days,70.35999071781441,8.388086236908537,6.588597144883931,0.07615744359728466,0.05720775192541338,0.07543391841587306,0.3581788277511962
54 days,71.96516982919827,8.483228738469704,6.690655859841672,0.07762272644794273,0.05904818231061555,0.0767501278006944,0.3532446172248804
55 days,72.88716866327236,8.53739823735969,6.764721036060493,0.07852787855057478,0.059258628891930815,0.07758089899770576,0.3483104066985646
56 days,74.49974575521725,8.631323522798647,6.861019292129976,0.07967414277779745,0.06144920859813772,0.07861750973557985,0.3427781100478469
57 days,75.84462722404658,8.708882088078044,6.931282071622177,0.08089239785909129,0.061192243369785834,0.07957132362941587,0.3395596590909091
58 days,76.52695293803721,8.747968503489094,6.95971638593625,0.081505902171766,0.0620379029195008,0.08000318891406315,0.33948863636363635
59 days,76.04092318952162,8.720144677098059,6.953696700108093,0.0817708686189263,0.06326665319210462,0.08019533601077117,0.34046052631578944
60 days,76.60438832511502,8.75239329127268,6.996377651519158,0.08274468126685043,0.06443032104224339,0.0809998386637271,0.3383672248803828
61 days,78.54454821095004,8.862536217751105,7.096791936252057,0.08429571088734224,0.0663705076807391,0.08236613748939746,0.33335825358851673
62 days,79.27994471584192,8.903928611340161,7.144941528611664,0.08487464121680079,0.06749875340637013,0.08290487186449975,0.33253588516746413
63 days,80.51558964662617,8.973047957446019,7.2113597724597405,0.08560367104684324,0.06877299528949166,0.08356847495136131,0.3328349282296651
64 days,80.8150943242627,8.98972159325653,7.2368598807259925,0.08617373704919147,0.06854580866506135,0.08396010460475371,0.3346590909090909
