horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,32.0348086943359,5.65993009624111,4.327497296689838,0.05924024070769673,0.049104414003417994,0.05923154073029928,0.23295454545454544
38 days,32.53798356161926,5.704207531429695,4.371712669666005,0.06007653407206486,0.050081956551998194,0.06003302810725268,0.23033791866028708
39 days,33.10899865052923,5.754041940282433,4.413202528148147,0.060766903859365985,0.05043928638792862,0.06069885430390345,0.23108552631578946
40 days,33.59707002997815,5.796297959040594,4.456816346596739,0.061544494832445125,0.05150922951197512,0.06146295815469019,0.2311602870813397
41 days,33.95068767267688,5.8267218633359255,4.500862319997268,0.062495067612661076,0.05283418609553853,0.06237903757224747,0.22682416267942582
42 days,34.5621472659762,5.878958008522956,4.559866950124441,0.0634920105961707,0.05379354002666069,0.06334385208791238,0.22353468899521534
43 days,34.949395738354035,5.911801395374682,4.5932929094171815,0.06427255556704223,0.05442727592413429,0.06405017872331968,0.22386363636363635
44 days,35.31522642004351,5.942661560281176,4.627524876666735,0.06494697511844513,0.05526678837214203,0.06469003598279251,0.22017045454545456
45 days,35.646338067125726,5.97045543213629,4.669199199203341,0.06580941123993135,0.055811855653180156,0.06551052809012714,0.2133672248803828
46 days,35.91121949210555,5.992597057378842,4.703027098249612,0.0664870441277733,0.05715586402545271,0.06618232535619566,0.21037679425837322
47 days,36.192028796520724,6.015981116702472,4.728796360827951,0.06704195618033243,0.05827806824936507,0.06675667790692942,0.21389055023923442
48 days,36.57254479305731,6.047523856344621,4.771247824392987,0.06797638850726066,0.06107629269814734,0.06767005798396551,0.2132177033492823
49 days,36.94228294686639,6.078016366123605,4.8187925288755205,0.06896039721849269,0.062428019083440506,0.06861031042649993,0.21149820574162678
50 days,37.117385788636405,6.092403941683152,4.845072654924155,0.06965306690158389,0.06477946661182941,0.06920722627688908,0.21434659090909092
51 days,37.01158800472328,6.083714983850187,4.849179707979831,0.07004658289940113,0.06513011023648026,0.06955206218335735,0.21803977272727273
