horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,0.008759551932631766,0.09359247797035702,0.07829283068737582,0.02196538961894891,0.018959664668371193,0.02209260402307073,0.3409090909090909
38 days,0.008993857890155464,0.09483595251883889,0.07939479262244876,0.022325483473607848,0.019199324094520367,0.02245672763853323,0.3355263157894737
39 days,0.00921024868733919,0.09597004057172837,0.08045809785179071,0.022658895582753472,0.019540814632752264,0.02279255212701432,0.32991925837320574
40 days,0.009391933934180184,0.09691199066256034,0.08136118564342852,0.02295961990104094,0.019817544662729294,0.023091790039716353,0.32214413875598086
41 days,0.009482959492694055,0.09738048825454745,0.0818284217869827,0.023116627715394213,0.01991846925265423,0.023250693627014662,0.3206489234449761
42 days,0.009664687393219178,0.09830914196156519,0.08272227499246758,0.02336307239376205,0.020025236410936287,0.023500934895775785,0.31713516746411485
43 days,0.009916734407075996,0.09958280176353744,0.08411931351654241,0.023750362426610164,0.020404598637263426,0.023880147410312292,0.3138494318181818
44 days,0.010110434892231367,0.10055065833813007,0.08517768254090768,0.02405777679881765,0.020716060215267923,0.02418188040708741,0.3125
45 days,0.010297474843403652,0.10147647433471293,0.08599642759900461,0.024351269073632945,0.021087332666421668,0.024476691052140384,0.3113038277511962
46 days,0.010468331670333423,0.10231486534386595,0.08671202728535614,0.024626094827666745,0.021188042635255748,0.024747076035277316,0.3113038277511962
47 days,0.010576111458930148,0.1028402229622736,0.08701190895503355,0.024773943163016166,0.021188042635255748,0.024889241978669707,0.31848086124401914
48 days,0.01060639486585145,0.10298735294127842,0.08710652025862514,0.024818282459770358,0.021188042635255748,0.024930481658785187,0.3255083732057416
49 days,0.010726611693693293,0.10356935692420463,0.08757535133104898,0.024970782582179326,0.0212694477444014,0.025080503111755692,0.3328349282296651
50 days,0.010949938097668878,0.10464195190108448,0.08837050378450634,0.025240980753861705,0.02146313995646522,0.025336616152303645,0.3362215909090909
51 days,0.011111282200370241,0.105410066883435,0.08888858314926734,0.025453301572403428,0.021520900075124597,0.02553958209880017,0.34019886363636365
52 days,0.01136246408069204,0.10659485954159348,0.0896100757051115,0.025771212265957865,0.02179008338104737,0.025853253922815535,0.3445723684210526
53 days,0.011581755356169936,0.10761856418002397,0.09013152052574294,0.026020883401368888,0.02192371702485301,0.026098524120418222,0.3517494019138756
54 days,0.01176257498263279,0.10845540550213618,0.09038240919463705,0.026157485205949495,0.021908978888880933,0.026224787809025315,0.3595245215311005
55 days,0.011802773840408714,0.10864057179713624,0.09027879560432327,0.026152185841500527,0.021787106979636678,0.026217886619928788,0.3687948564593302
